"well","dct","conc","quant","recov","cv","outlier"
"A1",23.6729221343994,8103.70733186173,2000,405,75.3922641159838,1
"A2",23.0501346588135,22920.6740400905,2000,1146,75.3922641159838,1
"A3",23.8753471374512,5861.82071187437,2000,293,75.3922641159838,1
"A4",23.721321105957,7495.42758341851,NA,NA,173.067954295911,0
"A5",30.3485736846924,1.848387364083,NA,NA,173.067954295911,0
"A6",30.2184753417969,2.10979067842375,NA,NA,173.067954295911,0
"A7",30.1554412841797,2.25012500557113,NA,NA,31.127112520297,0
"A8",30.1604194641113,2.23869379550151,NA,NA,31.127112520297,0
"A9",30.7637023925781,1.21873804798916,NA,NA,31.127112520297,0
"B1",26.5040054321289,142.423210046194,400,36,16.1980756209232,1
"B2",26.3522071838379,172.946493941115,400,43,16.1980756209232,1
"B3",26.2484683990479,197.732576447752,400,49,16.1980756209232,1
"B4",26.2234878540039,204.244712756114,NA,NA,169.310455912475,0
"B5",30.6076793670654,1.42386442554381,NA,NA,169.310455912475,0
"B6",30.4403743743896,1.68452911989539,NA,NA,169.310455912475,0
"B7",30.6566505432129,1.35584377478174,NA,NA,14.3775086905404,0
"B8",30.3890705108643,1.7741336818011,NA,NA,14.3775086905404,0
"B9",30.5897178649902,1.44970125087677,NA,NA,14.3775086905404,0
"C1",28.8187484741211,9.2767129187556,80,12,12.0689061520004,1
"C2",28.874490737915,8.72649859973013,80,11,12.0689061520004,1
"C3",28.6673812866211,10.9629078483374,80,14,12.0689061520004,1
"C4",28.4416275024414,14.1019729730681,NA,NA,161.040748042971,0
"C5",32.4076881408691,0.252672014464096,NA,NA,161.040748042971,0
"C6",31.8127670288086,0.440696348262366,NA,NA,161.040748042971,0
"C7",32.0503578186035,0.352309647850082,NA,NA,24.3589310136024,0
"C8",31.5391483306885,0.571941367222915,NA,NA,24.3589310136024,0
"C9",31.8178977966309,0.438560501971054,NA,NA,24.3589310136024,0
"D1",27.8696346282959,27.1007803600551,16,169,15.8070244555639,1
"D2",27.6146297454834,36.5342337646396,16,228,15.8070244555639,1
"D3",27.6327934265137,35.7594947490819,16,223,15.8070244555639,1
"D4",27.6291122436523,35.9150985293771,NA,NA,126.936876857794,0
"D5",29.6301574707031,3.87954123924953,NA,NA,126.936876857794,0
"D6",29.6245956420898,3.9022920781089,NA,NA,126.936876857794,0
"D7",29.7771015167236,3.3262562275459,NA,NA,33.9948548970246,0
"D8",29.5190181732178,4.36179453582711,NA,NA,33.9948548970246,0
"D9",29.1490345001221,6.47520555368795,NA,NA,33.9948548970246,0
"E1",29.363639831543,5.14410135617269,3.2,161,27.8424006518218,1
"E2",29.0149726867676,7.48660750833897,3.2,234,27.8424006518218,1
"E3",28.8289260864258,9.17359477415158,3.2,287,27.8424006518218,1
"E4",28.6633682250977,11.0117732949098,NA,NA,6.39520965658566,0
"E5",28.7657432556152,9.83381456771248,NA,NA,6.39520965658566,0
"E6",28.7575645446777,9.92286066869034,NA,NA,6.39520965658566,0
"F1",30.6085147857666,1.42267452223978,0.64,222,19.666529441183,1
"F2",30.4507579803467,1.66697827260151,0.64,260,19.666529441183,1
"F3",30.22580909729,2.09407001275742,0.64,327,19.666529441183,1
"F4",30.3428516387939,1.85913901044818,NA,NA,44.4494504825919,0
"F5",29.7084121704102,3.57379289262224,NA,NA,44.4494504825919,0
"F6",29.4055709838867,4.91945089419314,NA,NA,44.4494504825919,0
"G1",33.7226753234863,0.0774354584003156,0.128,60,34.7371011820737,1
"G2",34.580379486084,0.0369408545943887,0.128,29,34.7371011820737,1
"G3",33.9696731567383,0.0624223799587313,0.128,49,34.7371011820737,1
"G4",34.9738693237305,0.0265032112006346,NA,NA,81.2439119573413,0
"G5",32.9390258789062,0.155523549308405,NA,NA,81.2439119573413,0
"G6",32.3252143859863,0.272700314597931,NA,NA,81.2439119573413,0
"H1",35.3623275756836,0,NA,NA,NA,0
"H2",34.6634292602539,0,NA,NA,NA,0
"H3",35.0752449035645,0,NA,NA,NA,0
"H4",34.6585311889648,0.0345706863392155,NA,NA,58.4322632901469,0
"H5",33.0148811340332,0.145235962906607,NA,NA,58.4322632901469,0
"H6",33.0728187561035,0.137858292038388,NA,NA,58.4322632901469,0
